date,bitcoin,dogecoin,stellar,ripple,litecoin,tether,ethereum,bitcoin-cash,binancecoin,cardano,tron,chainlink,weth,usd-coin
2023-07-13 00:00:00+00:00,13072555444.26232,175756580.1436906,43196696.6582361,613551699.943614,799454763.4941199,17906318480.993587,7979716345.774549,510119713.1290631,598038429.2310176,157297287.3738458,165778998.81948948,128526543.11731917,343271671.9159419,3456263207.275171
2023-07-14 00:00:00+00:00,21254274345.702217,777461534.1363912,1072521372.4652704,11251096255.82042,2008982216.199623,41189381561.33435,12253238016.10312,861077951.0066394,1027295132.9675016,1061529850.4494106,330483098.3219444,362491998.0115184,1360481400.858955,7076818919.28328
2023-07-15 00:00:00+00:00,21977151420.85325,694024160.2573605,533923916.5533275,5758002014.725879,1694203691.6843348,38115912805.16676,13163947666.120016,527319832.82682806,1079333379.4972708,711521604.9803299,285334282.983169,404545768.417778,1313018055.0309489,5621293709.55797
2023-07-16 00:00:00+00:00,6233916918.782722,1146833188.211578,150056554.18534964,2658605337.547687,628812856.5723193,14687396233.684244,4430406660.749946,326310907.69255817,404846237.1015673,238740937.7439541,231268873.5855132,156234947.38691065,382819281.43733394,2148548616.200311
2023-07-17 00:00:00+00:00,8356410453.563714,495347568.3969927,252080031.74805012,3239778453.914754,561081349.8465809,10365851133.897043,4551682234.721218,330898836.0159111,473714439.5384721,273772997.9689421,204927741.31541643,167087856.7637171,500962766.65740967,2566908161.57889
2023-07-18 00:00:00+00:00,10974383371.546566,520887438.37416005,121074843.9061688,2262921797.7753544,907554886.3213956,9569142031.318148,7684722413.234391,322319370.6755869,760807494.642201,254013075.5968411,198394895.52225783,434264697.9099463,317668884.77512074,4976552811.02007
2023-07-19 00:00:00+00:00,13152758553.030825,309741946.6632424,165597487.07376683,2214761174.651494,729791087.8184167,20811143044.811424,9120475118.907444,354121299.45440155,892907015.8444617,267786761.26667345,192382684.7660774,432602947.9532379,534435381.7174372,4694774613.864193
2023-07-20 00:00:00+00:00,8545620844.326587,499499434.3992658,724344772.5428737,3583242003.053844,706868382.848693,18728809603.79993,8894957096.351507,229013315.15372035,505922068.9400989,383394441.4635728,213549496.8693236,242362055.0650558,323693596.14925027,4329006302.57629
2023-07-21 00:00:00+00:00,11117456853.464512,718348687.364286,904807377.6814022,2588946338.45636,871573483.2879202,22829568120.206112,11204166583.061834,227370823.70812148,521480007.3588299,336406743.8692537,214757264.45589283,1422847115.3696628,811024152.5354147,4716924463.255882
2023-07-22 00:00:00+00:00,8492627980.9282,948505067.1069996,333511303.4919627,1675530391.283235,670993063.19064,19003075543.919186,6309767940.447504,145756355.45285147,385301778.8201493,205649259.8467456,174064602.95652965,622112997.8932011,197832454.9401984,6843211918.80042
2023-07-23 00:00:00+00:00,6745541064.873876,445894289.2176817,215454331.64341792,1389970268.986684,653180952.5388396,9669080041.186516,5837098870.775477,123750726.68299504,253197293.57865396,161693157.56487682,850038339.589499,384657338.2200642,240633979.4049872,2817330698.062643
2023-07-24 00:00:00+00:00,7427606999.412798,362900957.33893913,191946726.24990132,1257404824.397465,544133078.0254151,13086306837.397448,6531824636.513696,275701008.7181444,231161705.97812876,149736321.13736904,285526461.2090105,224037938.8680413,203377738.72036543,3057323652.361336
2023-07-25 00:00:00+00:00,15195244950.83804,1862195469.957928,159383912.0577567,1941377513.1581557,931454213.8966244,23022131554.691902,9438614856.624678,223297920.28589585,512795353.2773615,220955020.1083036,282895778.98562497,338382767.7925451,632519792.8453296,4575877869.502831
2023-07-26 00:00:00+00:00,7929844775.363448,1776480115.0495996,161612558.25314716,1530207989.3734734,580236656.4490404,12105247897.253216,4329972807.86323,158880668.41273478,359635865.7320736,165980268.46008557,272312337.19601095,218980018.51739317,324266766.5625173,2808136372.477017
2023-07-27 00:00:00+00:00,13088677750.42505,1047480835.9747274,242994270.94078204,1495290293.1260667,628738993.7097741,10714717923.692097,7307465774.976813,200573641.36761427,397845092.5820036,194346560.46428624,270907614.6868904,347969260.4295485,663232452.1881552,4436065271.878005
2023-07-28 00:00:00+00:00,9047649539.81237,641753984.7370008,288243596.1483375,1329392797.0606704,595144293.3387749,13900641436.01162,6626220422.969731,179973544.39392206,385232386.4664915,146593216.0525046,232405841.18573204,355635627.604162,473081651.21279925,3452419782.9157343
2023-07-29 00:00:00+00:00,7682754827.054111,426550526.20228267,221684312.68231276,943438023.2856784,456503420.1535596,11602381889.644108,4775263924.223373,98337996.21286732,300272976.7934694,127820015.00365327,293850484.0822857,196806025.752497,304782219.8533727,2548949374.190426
2023-07-30 00:00:00+00:00,4882536540.911603,571202904.5184354,96840639.87872767,642153174.3261417,501049778.0411614,7077454568.378146,2990426323.771476,104466370.55645542,251740436.6290865,142844606.32036033,216254156.2103777,139241488.6468452,178865682.1263289,1507502199.9151363
