,NetworkRisk
2021-10-15,-0.02430302814721905
2021-10-16,0.028559341961331204
2021-10-17,0.00629511003232955
2021-10-18,0.0037272737089362
2021-10-19,0.032870752684354
2021-10-20,0.006061818883329399
2021-10-21,-0.007421650189524502
2021-10-22,-0.044267013842314545
2021-10-23,0.0044532845636689996
2021-10-24,0.009320304526692752
2021-10-25,0.059470224101897645
2021-10-26,-0.02494097279204655
2021-10-27,-0.023563232166907748
2021-10-28,-0.028192498870454094
2021-10-29,0.08792097499881035
2021-10-30,-0.0224024915207988
2021-10-31,-0.02854402975212044
2021-11-01,0.022377456731939298
2021-11-02,-0.02079319028880695
2021-11-03,-0.014259424776988449
2021-11-04,-0.03844779416015355
2021-11-05,-0.0031941008110041007
2021-11-06,0.0521472886029177
2021-11-07,-0.012111342714295849
2021-11-08,-0.035520374372837595
2021-11-09,0.024023452127453812
2021-11-10,-0.00430248896034225
2021-11-11,-0.013904333959304495
2021-11-12,0.0015845873995866
2021-11-13,-0.01721197625493495
2021-11-14,0.0050274179633033
2021-11-15,0.007925084608089349
2021-11-16,-0.014521722896135
2021-11-17,0.0012693547690280915
2021-11-18,-0.00557568138955775
2021-11-19,0.007154807527103103
2021-11-20,-0.023960388543544958
2021-11-21,-0.012463777196294998
2021-11-22,0.006783209759231801
2021-11-23,-0.0012668647535353517
2021-11-24,-0.004770548801402701
2021-11-25,0.0028728152185175486
2021-11-26,0.0025265997550810507
2021-11-27,0.0360663735894233
2021-11-28,-0.007839690211756501
2021-11-29,-0.011942807142509653
2021-11-30,0.008791373761554849
2021-12-01,-0.0297384002885859
2021-12-02,0.008642865305338148
2021-12-03,0.0026244606932060996
2021-12-04,-0.014334652345813804
2021-12-05,-0.08368838785657301
2021-12-06,-0.03452650140516115
2021-12-07,0.015390045922312495
2021-12-08,0.00167128054120275
2021-12-09,-0.00867348435312135
2021-12-10,-0.018932703750880756
2021-12-11,0.007865675877719653
2021-12-12,0.0125384894201564
2021-12-13,0.0012582970645532501
2021-12-14,-0.027564355569139047
2021-12-15,0.10478971460351465
2021-12-16,-0.03990732157931845
2021-12-17,-0.0308905856736509
2021-12-18,-0.0148072990707017
2021-12-19,0.0032861101139416513
2021-12-20,-0.003853266736071649
2021-12-21,0.0014497001784349994
2021-12-22,0.009317876651381951
2021-12-23,-0.01889096099205305
2021-12-24,-0.0199229925542583
2021-12-25,0.0428802414601907
2021-12-26,-0.018079829351077353
2021-12-27,-0.000368939565718433
2021-12-28,-0.0028822646984331454
2021-12-29,-0.03809074836847742
2021-12-30,-0.014843271017994347
2021-12-31,0.009977846272022748
2022-01-01,-0.005899004963420201
2022-01-02,0.010397979283119599
2022-01-03,-0.007302404364393399
2022-01-04,-0.012809168685303098
2022-01-05,-0.016072041983800002
2022-01-06,-0.019710317859335948
2022-01-07,0.017480541191499346
2022-01-08,-0.002655136914369749
2022-01-09,0.005967774340017702
2022-01-10,-0.01249865003775145
2022-01-11,-0.010666964889424698
2022-01-12,0.019373147837872345
2022-01-13,0.018499271936237148
2022-01-14,0.036048469157333854
2022-01-15,0.02746173798653265
2022-01-16,0.0020007741465578
2022-01-17,-0.02427943042518565
2022-01-18,-0.007230635101029854
2022-01-19,-0.0084206453552246
2022-01-20,-0.007151271500986748
2022-01-21,-0.0185249625349409
2022-01-22,-0.0120703579793916
2022-01-23,-0.01444431763616831
